year,population,glob,n_hem,x24n_90n,qnt_death_heat_cold_exposure,qnt_death_lower_respiratory_infections,qnt_death_exposure_to_forces_of_nature,qnt_death_chronic_respiratory_diseases,male_germans_age_0_25,male_germans_age_26_50,male_germans_age_51_75,male_germans_age_75_100,female_germans_age_0_25,female_germans_age_26_50,female_germans_age_51_75,female_germans_age_75_100,temp_rcp_45,CO2EQ,KYOTO-CO2EQ,CO2,CH4,N2O,FGASSUMHFC134AEQ,MHALOSUMCFC12EQ,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
2010,81776930,0.72,0.9,1.02,345004,14391312,1225205,20969365,3934,22710,170944,198926,2338,11893,99088,328754,9.383479159723116,392.05839,443.06521,389.32416,1778.6749,323.06113,187.02222,989.27124,83.282354,3.9090111,0.071459753,22.929833,5.7192477,0.5162428,7.7323472,56.037903,10.786163,1.5647592,9.519849,6.9857282,237.2745,524.93395,74.898167,16.593633,9.1106122,87.260613,9.6563358,193.97966,19.946089,17.979093,4.1269142,0.0094572326,3.0355389,0.31715189,7.2163683,538.01911
2011,80274983,0.61,0.74,0.98,303079,14310761,204595,21154906,4029,21309,166433,203361,2283,11573,98130,324837,9.42196479389885,395.27227,446.38838,391.63801,1788.0274,323.80912,202.10747,985.82919,83.991394,4.0109895,0.07944062,23.663182,6.4394462,0.62553251,9.0530011,60.516321,12.342495,1.8944424,11.655884,7.2618997,233.52032,521.18727,73.976832,16.535234,9.1130528,85.062061,8.2617417,201.02445,20.504765,19.150811,4.0568092,0.0072866391,3.0464676,0.30530877,7.1612977,538.02437
2012,80425823,0.65,0.81,1.04,301914,14318860,47768,21278719,3714,20227,164775,214278,2110,10964,96754,334938,9.462666614983856,398.43505,449.83816,394.00866,1798.6137,324.57523,217.93776,982.25561,84.697708,4.1123806,0.087225837,24.347373,7.3183878,0.73645068,10.508207,65.215304,13.996766,2.219614,13.901179,7.5430032,229.76959,517.29836,73.054181,16.476474,9.1134294,82.695849,7.0485666,208.30848,21.053881,20.179038,3.9777103,0.005161436,3.0539664,0.29358193,7.1388341,538.0268
2013,80645605,0.67,0.8,0.94,290870,14397233,144535,21598677,3483,19539,165929,226352,2140,10690,98002,344195,9.479192384686147,401.79376,453.44788,396.46384,1810.5166,325.36418,234.25944,978.56937,85.411559,4.214734,0.094521648,24.958048,8.4761188,0.84236154,12.070317,70.223656,15.679234,2.499565,16.128831,7.8281601,226.0299,513.28747,72.135521,16.417511,9.1122576,80.172646,6.057091,215.80023,21.585023,21.059995,3.8911817,0.0036560643,3.0582912,0.28202826,7.1268553,538.02793
2014,80982500,0.74,0.92,1.07,285918,14375797,41685,21839782,3449,18628,159893,225595,2034,9839,94238,330530,9.503082237587313,405.27595,457.2162,399.00402,1823.6553,326.17584,251.02197,974.77174,86.132947,4.3180497,0.10132821,25.495517,9.8616706,0.94359868,13.735893,75.522081,17.389505,2.7356428,18.342076,8.117369,222.30715,509.17215,71.223673,16.358471,9.1099196,77.501723,5.2470902,223.47291,22.091068,21.791045,3.7985847,0.0025897456,3.0596637,0.27068864,7.1195919,538.02846
2015,81686611,0.89,1.17,1.31,302263,14398269,81224,22081571,3404,18446,164116,246925,2145,9857,96734,356456,9.514134699558188,408.90146,461.14035,401.62793,1837.9657,327.0101,268.18373,970.86996,86.861873,4.4223275,0.10764566,25.960094,11.43396,1.0404833,15.501699,81.093232,19.127241,2.9291639,20.544118,8.4106286,218.60806,504.96997,70.320541,16.299461,9.1067042,74.692549,4.5856117,231.30542,22.56621,22.370682,3.7011599,0.0018344268,3.0583142,0.25959179,7.1162933,538.0287
2016,82348669,1.01,1.3,1.54,278477,14310670,48015,22375948,3442,17447,158581,250715,2130,9540,93645,345740,9.514059725929744,412.66275,465.20967,404.32819,1853.3544,327.86681,285.70756,966.82702,87.598336,4.5275673,0.11347418,26.352072,13.159477,1.1333089,17.364568,86.920236,20.892066,3.0813908,22.737503,8.7079378,214.93453,500.69256,69.426651,16.240502,9.1028197,71.751434,3.8986626,239.27704,23.005277,22.798042,3.5999537,0.0012994024,3.0544265,0.24875965,6.9192362,538.02881
2017,82657002,0.92,1.18,1.39,271232,14167454,69812,22699138,3184,16282,155846,263737,2052,8828,92866,358719,9.55426666865884,416.54905,469.411,407.09588,1869.7086,328.7458,303.55965,962.67162,88.342337,4.6337691,0.11881389,26.671728,15.010794,1.2223416,19.32139,92.986656,22.683568,3.1935325,24.924136,9.0092953,211.28488,496.34702,68.541658,16.181592,9.0984329,68.803082,3.1905786,247.32498,23.4077,23.082073,3.4958313,9.2042192e-4,3.0481285,0.23820936,6.6768375,538.02886
2018,82905782,0.84,1.03,1.24,271378,14194124,63997,23248429,3213,15771,157863,273124,1955,8703,94012,365016,9.582436640124028,420.55429,473.73736,409.92701,1886.932,329.64686,321.71097,958.45013,89.093876,4.7409328,0.12366497,26.919337,16.965738,1.3078318,21.369191,99.277415,24.501353,3.26676,27.10576,9.3146997,207.65858,491.94064,67.66528,16.122708,9.0936735,65.967817,2.6117736,255.35627,23.777203,23.240415,3.3895872,6.5197394e-4,3.0395561,0.22795854,6.6186108,538.02889
2019,83092962,0.97,1.21,1.41,280147,14249200,33861,23767366,3055,14905,154894,272358,1813,8108,92324,357975,9.60273187407086,424.72174,478.18681,412.82151,1904.9443,330.5698,340.13678,954.12603,89.852952,4.8490582,0.12802755,27.095174,19.006451,1.3900167,23.505141,105.77878,26.345055,3.3022082,29.284021,9.6241498,204.05614,487.48107,66.797343,16.063838,9.0886348,63.241065,2.1379037,263.2976,24.117178,23.288972,3.2819486,4.6182083e-4,3.0288533,0.21801415,6.6020412,538.0289
2020,83160871,1.02,1.35,1.67,NA,NA,NA,NA,2740,14735,159591,292614,1698,7836,93169,375547,9.624191117778544,429.09113,482.75861,415.78022,1923.671,331.51441,358.81521,949.6749,90.619566,4.9581453,0.1319018,27.199512,21.118428,1.469117,25.726512,112.47794,28.214312,3.3009727,31.460325,9.9376444,200.47796,482.97511,65.937659,16.004987,9.0833724,60.61846,1.7498573,271.09136,24.430637,23.24204,3.1735473,3.2712731e-4,3.0161617,0.2083719,6.5945757,538.0289
2021,83129285,0.84,1.14,1.42,NA,NA,NA,NA,2992,14870,169900,301541,1839,7954,98287,383059,9.624966446032984,433.67451,487.44069,418.79629,1942.9669,332.4805,377.71853,945.05495,91.393717,5.068194,0.13528787,27.232577,23.28817,1.5453005,28.0303,119.35968,30.108536,3.264073,33.634221,10.255182,196.91618,478.4199,65.084565,15.946042,9.0779124,58.091662,1.4325621,278.68406,24.719227,23.111928,3.0648181,2.3171817e-4,3.0015142,0.19904208,6.5843877,538.02891
